"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2067","AT4G13430",17270.6496791264,0.574512904471466,0.102117476881714,5.62599979959298,1.84436559282392e-08,3.79437774109644e-07
"2068","AT5G45410",3124.90253712275,0.574208413165853,0.137155040290874,4.18656443064789,2.83208565748394e-05,0.000252839379234758
"2069","AT1G36380",394.400132918353,0.573765453468229,0.130002078469559,4.41350984709512,1.01708089677832e-05,0.000104758885692323
"2070","AT3G11280",1778.54681177641,0.573299729442946,0.126365341813774,4.53684310281709,5.71025559244453e-06,6.28744715538036e-05
"2071","AT1G18210",484.109470839725,0.573276483060104,0.156034069144273,3.67404686812364,0.000238738911925473,0.00158886030118845
"2072","AT5G39730",1745.77155350501,0.573246545199949,0.0649451157773186,8.8266305839761,1.07876379297039e-18,8.72422318501189e-17
"2073","AT5G56750",572.709493725551,0.572735007520292,0.134477829193537,4.25895488464515,2.05384913764086e-05,0.000192214380786477
"2074","AT1G29340",1528.15679863153,0.572439266948125,0.119865399094328,4.77568398614888,1.79097456976245e-06,2.29089922982672e-05
"2075","AT4G15780",1087.50206526704,0.571766062285858,0.162018439305772,3.52901845454012,0.000417104042650377,0.00255814359630735
"2076","AT3G03990",982.954497708803,0.571218061446971,0.182910347987312,3.12294010553517,0.0017905418155059,0.0086684936013
"2077","AT3G61980",236.919048856372,0.570224089732001,0.122085048463444,4.67071190869652,3.00157657754659e-06,3.55176465556005e-05
"2078","AT2G26355",355.678462563785,0.57011856009687,0.173728398157359,3.28166590001291,0.00103195798557295,0.00550110801052485
"2079","AT2G31585",125.751352036775,0.568371005638134,0.167463016284833,3.39400912659669,0.000688773971052808,0.00389248576942205
"2080","AT4G27870",1134.16854702734,0.56802647692574,0.111937074078835,5.07451603144182,3.88483480256123e-07,5.82179109421524e-06
"2081","AT2G40270",1190.21403638968,0.566874834379033,0.0846315778665238,6.69814800420094,2.11077432146281e-11,7.44420904680711e-10
"2082","AT4G34200",2534.59529926812,0.566376095369043,0.0731843883889319,7.73902888084666,1.00179026073258e-14,5.51525516078899e-13
"2083","AT3G25700",334.602681238515,0.56634811308347,0.161902331259595,3.49808497924212,0.000468611793414054,0.00281937905245221
"2084","AT5G18820",318.93714369244,0.565964252427016,0.151340582397448,3.73967275308015,0.000184259979584338,0.00127740150788988
"2085","AT1G28210",167.760213445849,0.565625176478338,0.167571899521203,3.37541782419653,0.000737036994563876,0.00413435269875785
"2086","AT5G36880",3111.80565050392,0.565358181923604,0.0660746201743446,8.55635916531717,1.16487992330307e-17,8.38034627031496e-16
"2087","AT5G16820",719.063082654311,0.565217960760265,0.140576383131427,4.02071776332325,5.80210862564136e-05,0.000470854164696079
"2088","AT1G14300",338.180206797779,0.56426446699726,0.14504647348857,3.89023223678531,0.000100148330263735,0.000760861285933068
"2089","AT4G23010",662.137002725069,0.563833412994378,0.0994332803523076,5.67046979639643,1.42406474802067e-08,2.99270524510114e-07
"2090","AT4G20020",794.334669277808,0.563791667367084,0.150417171770198,3.74818686411964,0.000178117534124842,0.00124142363382761
"2091","AT2G28890",676.319399802163,0.562417775893846,0.144427696951069,3.89411302517956,9.85586908005176e-05,0.000749999018606275
"2092","AT3G08950",267.887319741673,0.561583887557155,0.128570383132703,4.36791019730819,1.25441048425315e-05,0.000125564187311947
"2093","AT5G16810",1863.55128554182,0.561095583919738,0.10294838480973,5.45026116686296,5.02959050099474e-08,9.36182428728807e-07
"2094","AT1G71110",154.428826586144,0.561094126367132,0.176537607966425,3.17832632281867,0.00148127932502664,0.00740734413856071
"2095","AT5G13300",2046.57595428759,0.560796457701961,0.118045596121648,4.75067665484148,2.02737093142261e-06,2.54131108790243e-05
"2096","AT1G28610",3153.00523700569,0.560575183234136,0.0933094158363738,6.00770220464302,1.88171053692091e-09,4.60185163945842e-08
"2097","AT3G27280",488.693271541409,0.560457894670852,0.133263989428857,4.20562146663075,2.60365704205421e-05,0.000235948874062201
"2098","AT4G14050",99.3772460957732,0.560029894293814,0.157824431649817,3.54843599586923,0.00038752616813876,0.00239996071332409
"2099","AT3G58795",168.248007220323,0.559953033452804,0.150798393362842,3.71325596357965,0.00020460975860379,0.00139173801291609
"2100","AT3G60690",576.524158429418,0.559936476543287,0.141045642111394,3.96989561790974,7.19041252448082e-05,0.000568757993040973
"2101","AT5G23130",114.235097345308,0.559533159551424,0.165145903530059,3.38811407120116,0.000703749892527708,0.00396946758765087
"2102","AT5G42570",560.252894080981,0.558802005278971,0.0946409640607408,5.9044411775046,3.53844092038691e-09,8.24921022920818e-08
"2103","AT3G18600",537.877716472948,0.556863152435646,0.158129513511575,3.52156368580041,0.000429009605412,0.00261590276975968
"2104","AT3G61460",844.308214445313,0.556678206808652,0.159335797039624,3.49374225473146,0.000476300623626958,0.00285476067618785
"2105","AT1G29030",321.365121294906,0.556237329244077,0.127142992945199,4.37489566950674,1.21490570253842e-05,0.000122340847752828
